"Artist","Song","Weeks"
"Roddy Ricch","""The Box""",11
"The Weeknd","""Blinding Lights"" ♪ [6]",4
"Drake","""Toosie Slide""",1
"The Scotts (Travis Scott and Kid Cudi)","""The Scotts""",1
"Doja Cat featuring Nicki Minaj","""Say So""",1
"Ariana Grande and Justin Bieber","""Stuck with U""",1
"Megan Thee Stallion featuring Beyoncé","""Savage""",1
"Lady Gaga and Ariana Grande","""Rain on Me""",1
"DaBaby featuring Roddy Ricch","""Rockstar""",7
"6ix9ine and Nicki Minaj","""Trollz""",1
"Taylor Swift","""Cardigan""",1
"Harry Styles","""Watermelon Sugar""",1
"Cardi B featuring Megan Thee Stallion","""WAP""",4
"BTS","""Dynamite""",3
"Travis Scott featuring Young Thug and M.I.A.","""Franchise""",1
"Jawsh 685 x Jason Derulo x BTS","""Savage Love (Laxed – Siren Beat)""",1
"24kGoldn featuring Iann Dior","""Mood""",8
"Ariana Grande","""Positions""",1
"BTS","""Life Goes On""",1
"Mariah Carey","""All I Want for Christmas Is You""",21
"Taylor Swift","""Willow""",1
"Olivia Rodrigo","""Drivers License""",8
"Drake","""What's Next""",1
"Cardi B","""Up""",1
"Justin Bieber featuring Daniel Caesar and Giveon","""Peaches""",1
"Lil Nas X","""Montero (Call Me by Your Name)""",1
"Silk Sonic (Bruno Mars and Anderson .Paak)","""Leave the Door Open""",2
"Polo G","""Rapstar""",2
"The Weeknd and Ariana Grande","""Save Your Tears""",2
"Olivia Rodrigo","""Good 4 U""",1
"BTS","""Butter""",10
"BTS","""Permission to Dance""",1
"The Kid Laroi and Justin Bieber","""Stay""",7
"Drake featuring Future and Young Thug","""Way 2 Sexy""",1
"Coldplay x BTS","""My Universe""",1
"Lil Nas X and Jack Harlow","""Industry Baby""",1
"Adele","""Easy on Me""",10
"Taylor Swift","""All Too Well (Taylor's Version)""",1
"Mariah Carey","""All I Want for Christmas Is You""",31
"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast","""We Don't Talk About Bruno""",5
"Glass Animals","""Heat Waves"" ♪ [46]",5
"Harry Styles","""As It Was""",15
"Jack Harlow","""First Class""",3
"Future featuring Drake and Tems","""Wait for U""",1
"Drake featuring 21 Savage","""Jimmy Cooks""",1
"Lizzo","""About Damn Time""",2
"Beyoncé","""Break My Soul""",2
"Nicki Minaj","""Super Freaky Girl""",1
"Steve Lacy","""Bad Habit""",3
"Sam Smith and Kim Petras","""Unholy""",1
"Taylor Swift","""Anti-Hero""",8
"Mariah Carey","""All I Want for Christmas Is You""",41
"Miley Cyrus","""Flowers""",8
"The Weeknd and Ariana Grande","""Die for You""",1
"Morgan Wallen","""Last Night""",16
"Jimin","""Like Crazy""",1
"SZA","""Kill Bill""",1
"Olivia Rodrigo","""Vampire""",1
"Jungkook featuring Latto","""Seven""",1
"Jason Aldean","""Try That in a Small Town""",1
"Oliver Anthony Music","""Rich Men North of Richmond""",NA
